Postal Code,Latitude,Longitude
V5K,49.278380,-123.039800
V5L,49.278460,-123.065780
V5M,49.261100,-123.042030
V5N,49.256020,-123.068060
V5P,49.223330,-123.067630
V5R,49.238590,-123.038660
V5S,49.217400,-123.038730
V5T,49.263260,-123.095760
V5V,49.248760,-123.090880
V5W,49.232740,-123.092660
V5X,49.215900,-123.099960
V5Y,49.257490,-123.109820
V5Z,49.246980,-123.119530
V6A,49.277470,-123.094710
V6B,49.279200,-123.116220
V6C,49.286120,-123.116840
V6D,49.263570,-123.138570
V6E,49.284650,-123.126750
V6G,49.288490,-123.136590
V6H,49.259830,-123.132320
V6J,49.262880,-123.146270
V6K,49.265530,-123.164790
V6L,49.250480,-123.167630
V6M,49.233970,-123.149430
V6N,49.233690,-123.180730
V6P,49.214080,-123.135390
V6R,49.265170,-123.194530
V6S,49.248770,-123.203580
V6T,49.266420,-123.244030
V6Z,49.276560,-123.126860
V7G,49.318870,-122.956680
V7H,49.315960,-122.995070
V7J,49.322920,-123.033230
V7K,49.344060,-123.038110
V7L,49.316890,-123.065040
V7M,49.319800,-123.080830
V7N,49.340270,-123.073770
V7P,49.323780,-123.111710
V7R,49.348380,-123.100370
V7S,49.351850,-123.161930
V7T,49.331680,-123.144650
V7V,49.337770,-123.182470
V7W,49.357020,-123.263870
V7X,49.286270,-123.118540
V7Y,49.282980,-123.119040
